LIST AS ON,10-Jan-13,,,
INDEX NAME,SCRIP CODE,NAME, FREE FLOAT FACTOR ,INDUSTRY
BSE Mid-Cap,500032,BAJAJHINDLTD, 0.50 ,Agriculture
BSE Mid-Cap,500108,MAHANAG TELE, 0.45 ,Telecom
BSE Mid-Cap,500110,CHENNAI PETR, 0.35 ,Oil & Gas
BSE Mid-Cap,500630,ESSAR SHIP, 0.20 ,Transport Services
BSE Mid-Cap,501301,TATA INV COR, 0.30 ,Finance
BSE Mid-Cap,532189,IND TOURISM, 0.05 ,Tourism
BSE Mid-Cap,532191,ST BK TRAVAN, 0.25 ,Finance
BSE Mid-Cap,532644,JK CEMENT, 0.35 ,Housing Related
BSE Mid-Cap,532662,HT MEDIA, 0.30 ,Media & Publishing
BSE Mid-Cap,532696,EDUCOMP SOLN, 0.45 ,Miscellaneous
BSE Mid-Cap,533023,WABCO, 0.25 ,Transport Equipments
BSE Mid-Cap,533229,BAJAJ CORP, 0.20 ,FMCG
BSE Mid-Cap,500031,BAJAJ ELECT., 0.35 ,Consumer Durables
BSE Mid-Cap,500038,BALRAMPUR C, 0.60 ,Agriculture
BSE Mid-Cap,532525,BANK MAHA, 0.20 ,Finance
BSE Mid-Cap,534809,PC JEWELLER, 0.25 ,Consumer Durables
BSE Mid-Cap,506390,CLARI CHEM, 0.40 ,Chemical & Petrochemical
BSE Mid-Cap,500338,PRISM CEMENT, 0.25 ,Housing Related
BSE Mid-Cap,509488,GRAPHIT INDI, 0.40 ,Capital Goods
BSE Mid-Cap,534139,SCHNEIDER, 0.30 ,Capital Goods
BSE Mid-Cap,531335,ZYDUS WELL, 0.30 ,FMCG
BSE Mid-Cap,531599,FDC LIMITED, 0.35 ,Healthcare
BSE Mid-Cap,532371,TATA TELESRV, 0.25 ,Telecom
BSE Mid-Cap,533088,MAH HOLIDAY, 0.20 ,Tourism
BSE Mid-Cap,500672,NOVARTIS IND, 0.25 ,Healthcare
BSE Mid-Cap,523457,BOC INDIA LT, 0.15 ,Oil & Gas
BSE Mid-Cap,532749,ALLCARGO, 0.30 ,Transport Services
BSE Mid-Cap,532780,PARSVNATH, 0.30 ,Housing Related
BSE Mid-Cap,532892,MOTILALOFS, 0.30 ,Finance
BSE Mid-Cap,532997,KSK ENERGY, 0.20 ,Power
BSE Mid-Cap,517174,HONEYWEL AUT, 0.20 ,Capital Goods
BSE Mid-Cap,532725,SOLAR IND, 0.25 ,Capital Goods
BSE Mid-Cap,532880,OMAXE LTD, 0.15 ,Housing Related
BSE Mid-Cap,533261,EROS MEDIA, 0.25 ,Media & Publishing
BSE Mid-Cap,533171,UNITED BANK, 0.15 ,Finance
BSE Mid-Cap,506820,ASTRAZEN PHA, 0.10 ,Healthcare
BSE Mid-Cap,532545,FKONCO, 0.20 ,Healthcare
BSE Mid-Cap,532891,PURAVANKARA, 0.15 ,Housing Related
BSE Mid-Cap,532930,BGR ENERGY, 0.20 ,Capital Goods
BSE Mid-Cap,533295,PUNJABNSIND, 0.20 ,Finance
BSE Mid-Cap,524230,RASHTRIYA CH, 0.10 ,Agriculture
BSE Mid-Cap,532200,STATE BK MYS, 0.10 ,Finance
BSE Mid-Cap,532678,BOMBAY RAYON, 0.10 ,Textile
BSE Mid-Cap,505509,RESPON IND, 0.10 ,Other
BSE Mid-Cap,515145,HIND NAT GLS, 0.15 ,Housing Related
BSE Mid-Cap,534309,NBCC LTD, 0.10 ,Housing Related
BSE Mid-Cap,523630,NATIONAL FER, 0.05 ,Agriculture
BSE Mid-Cap,500191,HMT LTD, 0.05 ,Capital Goods
BSE Small-Cap,533228,SKS MICRO, 0.75 ,Finance
BSE Small-Cap,530773,IVRCL LTD, 0.90 ,Housing Related
BSE Small-Cap,532900,SE INVESTM, 0.75 ,Finance
BSE Small-Cap,526045,LUMINAI TECH, 0.75 ,Miscellaneous
BSE Small-Cap,500294,NCC, 0.80 ,Housing Related
BSE Small-Cap,533269,VATECH WABA, 0.70 ,Capital Goods
BSE Small-Cap,522074,ELGI EQUIP, 0.70 ,Capital Goods
BSE Small-Cap,533400,FUTURE VENT, 0.65 ,Finance
BSE Small-Cap,534690,LAKSHMIVILAS, 0.90 ,Finance
BSE Small-Cap,532714,KEC INTERN, 0.60 ,Power
BSE Small-Cap,523756,SREI INFRA, 0.45 ,Finance
BSE Small-Cap,508939,BLUE CIRCLE, 1.00 ,Finance
BSE Small-Cap,532835,ICRA, 0.70 ,Finance
BSE Small-Cap,533264,ELECTROSTEEL, 0.65 ,"Metal,Metal Products & Mining"
BSE Small-Cap,531900,CCL INTER, 0.75 ,Miscellaneous
BSE Small-Cap,512105,SHREENATH, 0.90 ,Other
BSE Small-Cap,532772,DEV CRBANK, 0.75 ,Finance
BSE Small-Cap,500380,JK LAKSHMI, 0.55 ,Housing Related
BSE Small-Cap,502420,ORIENT PAP&I, 0.55 ,Housing Related
BSE Small-Cap,500233,KAJARIA CERA, 0.50 ,Housing Related
BSE Small-Cap,524000,MAGMA FIN, 0.45 ,Finance
BSE Small-Cap,500102,BALLARPUR IN, 0.55 ,Miscellaneous
BSE Small-Cap,532313,MAHINDRALIFE, 0.50 ,Housing Related
BSE Small-Cap,532938,CAPF, 0.60 ,Finance
BSE Small-Cap,500186,HIND.OIL EXP, 0.55 ,Oil & Gas
BSE Small-Cap,500670,GUJ NARMADA, 0.60 ,Agriculture
BSE Small-Cap,500185,HINDUS CONST, 0.65 ,Housing Related
BSE Small-Cap,532508,JSL, 0.55 ,"Metal,Metal Products & Mining"
BSE Small-Cap,532747,KFA, 0.65 ,Transport Services
BSE Small-Cap,531522,RASOYA PROTN, 0.65 ,FMCG
BSE Small-Cap,500339,RAIN COMMODI, 0.55 ,Housing Related
BSE Small-Cap,511652,RAM KAASHYAP, 1.00 ,Oil & Gas
BSE Small-Cap,502986,VARDH TEXT, 0.40 ,Textile
BSE Small-Cap,512579,GUJARA NRE C, 0.55 ,"Metal,Metal Products & Mining"
BSE Small-Cap,500645,DEEPAK FERT, 0.60 ,Agriculture
BSE Small-Cap,506076,GRINDWEL NOR, 0.45 ,Capital Goods
BSE Small-Cap,522287,KALPAT POW T, 0.45 ,Capital Goods
BSE Small-Cap,523642,PI INDUS.LTD, 0.40 ,Agriculture
BSE Small-Cap,530191,CHROMATI IND, 0.75 ,Chemical & Petrochemical
BSE Small-Cap,532374,STER TECH, 0.50 ,Capital Goods
BSE Small-Cap,532899,KAVERI SEED, 0.35 ,Agriculture
BSE Small-Cap,533540,TREE HOUSE, 0.70 ,Miscellaneous
BSE Small-Cap,530001,GUJ ALKALI, 0.60 ,Chemical & Petrochemical
BSE Small-Cap,500366,ROLTA IND, 0.60 ,Information Technology
BSE Small-Cap,524816,NATCO PHARM, 0.45 ,Healthcare
BSE Small-Cap,534060,PRITI MERC, 0.85 ,Finance
BSE Small-Cap,521070,ALOK INDUSTR, 0.65 ,Textile
BSE Small-Cap,500403,SUNDRAM FAST, 0.55 ,Transport Equipments
BSE Small-Cap,508989,NAVNEET PUBL, 0.40 ,Media & Publishing
BSE Small-Cap,532840,ADVANTA, 0.35 ,Agriculture
BSE Small-Cap,503806,SRF LIMITED, 0.50 ,Textile
BSE Small-Cap,532254,POLARIS FIN, 0.50 ,Information Technology
BSE Small-Cap,533655,TRIVENITURB, 0.30 ,Capital Goods
BSE Small-Cap,500027,ATUL LTD., 0.50 ,Chemical & Petrochemical
BSE Small-Cap,500048,BEML LTD, 0.50 ,Capital Goods
BSE Small-Cap,503663,OUTCTYTRVL, 0.40 ,Other
BSE Small-Cap,507880,VIP INDUSTRI, 0.50 ,Consumer Durables
BSE Small-Cap,508486,HAWKINS COOK, 0.45 ,Consumer Durables
BSE Small-Cap,523405,JM FINANCIAL, 0.35 ,Finance
BSE Small-Cap,532180,DHANLAK BANK, 1.00 ,Finance
BSE Small-Cap,500126,MERCK LTD, 0.50 ,Healthcare
BSE Small-Cap,500183,HIM FUTR COM, 0.45 ,Telecom
BSE Small-Cap,500215,AGRO TECH F, 0.45 ,FMCG
BSE Small-Cap,517146,USHA MARTIN, 0.60 ,Capital Goods
BSE Small-Cap,522205,PRAJ INDUSTR, 0.60 ,Capital Goods
BSE Small-Cap,523838,SIMPLX INFRA, 0.50 ,Housing Related
BSE Small-Cap,533281,TECHNO ELE, 0.50 ,Capital Goods
BSE Small-Cap,500241,KIRLOSKAR BR, 0.40 ,Capital Goods
BSE Small-Cap,500495,ESCORTS LTD., 0.60 ,Transport Equipments
BSE Small-Cap,532953,V GUARD IND, 0.35 ,Capital Goods
BSE Small-Cap,533288,CLARIS LIFE, 0.40 ,Healthcare
BSE Small-Cap,533309,DALMIABHA, 0.35 ,Housing Related
BSE Small-Cap,534597,IBIPL, 0.60 ,Power
BSE Small-Cap,500041,BANNA AMM SU, 0.50 ,Agriculture
BSE Small-Cap,523523,RAINBOW PAPE, 0.65 ,Miscellaneous
BSE Small-Cap,530557,NCL RESEARCH, 0.80 ,Other
BSE Small-Cap,532809,FSL, 0.65 ,Information Technology
BSE Small-Cap,514034,JBF.IND.LTD, 0.55 ,Chemical & Petrochemical
BSE Small-Cap,531831,UNISYS SOF H, 0.80 ,Information Technology
BSE Small-Cap,532787,ESS DEE ALUM, 0.45 ,Miscellaneous
BSE Small-Cap,532795,SITICABLE, 0.40 ,Media & Publishing
BSE Small-Cap,533326,TEXMACO RAIL, 0.40 ,Capital Goods
BSE Small-Cap,519307,VIKAS WSP LT, 0.80 ,Agriculture
BSE Small-Cap,531426,TAMILNADU NE, 0.65 ,Miscellaneous
BSE Small-Cap,532106,REI AGRO LIM, 0.50 ,FMCG
BSE Small-Cap,502937,KESORAM IND, 0.75 ,Diversified
BSE Small-Cap,507514,SOM DISTIL B, 0.85 ,FMCG
BSE Small-Cap,511676,GIC HOUSI FI, 0.60 ,Finance
BSE Small-Cap,523363,STER HOL RES, 0.65 ,Tourism
BSE Small-Cap,531502,ESAAR INDIA, 0.95 ,Finance
BSE Small-Cap,532430,BF UTILITIES, 0.35 ,Power
BSE Small-Cap,532929,BRIGADE, 0.45 ,Housing Related
BSE Small-Cap,533412,AANJANEYA, 0.45 ,Healthcare
BSE Small-Cap,500210,INGERSOL RND, 0.30 ,Capital Goods
BSE Small-Cap,532312,GEOMETRIC L, 0.65 ,Information Technology
BSE Small-Cap,532748,PRIME FOCUS, 0.55 ,Media & Publishing
BSE Small-Cap,532854,NITIN FIRE, 0.30 ,Capital Goods
BSE Small-Cap,505355,NESCO LIMITD, 0.40 ,Capital Goods
BSE Small-Cap,507205,TILAKNAG IND, 0.45 ,Miscellaneous
BSE Small-Cap,509631,HEG LIMITED, 0.45 ,Capital Goods
BSE Small-Cap,523319,BALMER LAWRI, 0.40 ,Miscellaneous
BSE Small-Cap,523367,DCM SHR CONS, 0.40 ,Diversified
BSE Small-Cap,533402,INNOV IND, 0.55 ,"Metal,Metal Products & Mining"
BSE Small-Cap,500144,FINOLEX CABL, 0.50 ,Telecom
BSE Small-Cap,500179,HCL INFOSYS, 0.50 ,Information Technology
BSE Small-Cap,500193,HOTEL LEELAV, 0.35 ,Tourism
BSE Small-Cap,500292,HEIDEL CEM, 0.35 ,Housing Related
BSE Small-Cap,512237,JAI CORP LIM, 0.30 ,"Metal,Metal Products & Mining"
BSE Small-Cap,526797,GREENPL INDU, 0.45 ,Housing Related
BSE Small-Cap,507458,UNITED BREWR, 0.60 ,Finance
BSE Small-Cap,524372,ORCHID CHEM, 0.60 ,Healthcare
BSE Small-Cap,532548,CENTURYPLY, 0.30 ,Housing Related
BSE Small-Cap,532689,PVR LTD, 0.50 ,Media & Publishing
BSE Small-Cap,533159,AQUA LOGIST, 0.90 ,Miscellaneous
BSE Small-Cap,533573,ALEM PHARMA, 0.30 ,Healthcare
BSE Small-Cap,500148,UFLEX LTD, 0.55 ,Chemical & Petrochemical
BSE Small-Cap,500189,HINDUJA VENT, 0.35 ,Information Technology
BSE Small-Cap,500408,TATA ELXSI, 0.55 ,Information Technology
BSE Small-Cap,519260,SANWAR AG OI, 0.30 ,Agriculture
BSE Small-Cap,533344,PTCFIN SER, 0.40 ,Finance
BSE Small-Cap,534369,TBZ LTD, 0.25 ,Consumer Durables
BSE Small-Cap,500128,ELECTROSTEL, 0.45 ,"Metal,Metal Products & Mining"
BSE Small-Cap,500940,FINOLEX IND, 0.50 ,Chemical & Petrochemical
BSE Small-Cap,506022,PRAKASH IND., 0.55 ,Miscellaneous
BSE Small-Cap,506480,GULF OIL COR, 0.45 ,Diversified
BSE Small-Cap,512529,SEQUENT, 0.45 ,Healthcare
BSE Small-Cap,517300,GUJAR IN PWR, 0.35 ,Power
BSE Small-Cap,523445,REL INDL INF, 0.55 ,Capital Goods
BSE Small-Cap,524051,POLYPLEX COR, 0.55 ,Miscellaneous
BSE Small-Cap,524552,SHASUNPHAR, 0.50 ,Healthcare
BSE Small-Cap,533266,TECPRO SYS, 0.50 ,Capital Goods
BSE Small-Cap,533271,ASHOKA, 0.35 ,Housing Related
BSE Small-Cap,533790,KGN ENT, 0.50 ,Oil & Gas
BSE Small-Cap,504067,ZENSAR TECH, 0.30 ,Information Technology
BSE Small-Cap,515030,ASAHI INDIA, 0.45 ,Transport Equipments
BSE Small-Cap,524208,AARTI INDUS, 0.45 ,Chemical & Petrochemical
BSE Small-Cap,532526,DISHMAN PHAR, 0.40 ,Healthcare
BSE Small-Cap,533204,MANDHANA, 0.40 ,Textile
BSE Small-Cap,533282,GRAVITA, 0.30 ,"Metal,Metal Products & Mining"
BSE Small-Cap,500187,HSIL, 0.40 ,Housing Related
BSE Small-Cap,509550,GAMMON INDI, 0.65 ,Capital Goods
BSE Small-Cap,512463,SHREE GLOBAL, 0.30 ,Finance
BSE Small-Cap,532830,ASTRAL POLY, 0.40 ,Housing Related
BSE Small-Cap,532837,ORBITCO, 0.55 ,Housing Related
BSE Small-Cap,532856,TIME TECHNO, 0.35 ,Miscellaneous
BSE Small-Cap,533047,INDIAN MET, 0.45 ,"Metal,Metal Products & Mining"
BSE Small-Cap,500013,ANSAL INFRAS, 0.55 ,Housing Related
BSE Small-Cap,500304,NIIT LTD, 0.70 ,Information Technology
BSE Small-Cap,500444,WEST COAS PA, 0.50 ,Miscellaneous
BSE Small-Cap,502157,MANGALAM CEM, 0.75 ,Housing Related
BSE Small-Cap,506943,J B CHEM PHR, 0.45 ,Healthcare
BSE Small-Cap,519552,HERITAGE FO*, 0.55 ,FMCG
BSE Small-Cap,524084,MONSANTO IND, 0.30 ,Agriculture
BSE Small-Cap,530011,MANG CHE FER, 0.70 ,Agriculture
BSE Small-Cap,532322,ELDER PHARMA, 0.40 ,Healthcare
BSE Small-Cap,532700,ENT NETWORK, 0.30 ,Media & Publishing
BSE Small-Cap,532944,ONMOBILE, 0.65 ,Telecom
BSE Small-Cap,533552,RUPA & CO, 0.30 ,Textile
BSE Small-Cap,500171,GHCL LTD, 0.85 ,Chemical & Petrochemical
BSE Small-Cap,505744,FED MOG GOE, 0.30 ,Transport Equipments
BSE Small-Cap,513269,MAN INDUST I, 0.45 ,"Metal,Metal Products & Mining"
BSE Small-Cap,520113,VESUVIUSINDA, 0.45 ,"Metal,Metal Products & Mining"
BSE Small-Cap,530075,SELAN EXPLO, 0.60 ,Oil & Gas
BSE Small-Cap,530549,SHILPA MEDIC, 0.45 ,Healthcare
BSE Small-Cap,533305,SRS REAL, 0.30 ,Housing Related
BSE Small-Cap,534742,ZUARI AGRO, 0.30 ,Agriculture
BSE Small-Cap,500254,LLOYD STEEL, 0.35 ,"Metal,Metal Products & Mining"
BSE Small-Cap,500266,MAH.SCOOTER, 0.50 ,Transport Equipments
BSE Small-Cap,500407,SWARAJ ENGIN, 0.50 ,Transport Equipments
BSE Small-Cap,503310,SWAN ENG, 0.25 ,Textile
BSE Small-Cap,513536,GNRL, 0.80 ,"Metal,Metal Products & Mining"
BSE Small-Cap,513597,SURANA INDS, 0.40 ,Miscellaneous
BSE Small-Cap,517385,SYMPHONY, 0.25 ,Consumer Durables
BSE Small-Cap,522034,SHANTHI GEAR, 0.60 ,Transport Equipments
BSE Small-Cap,526235,MERCATOR, 0.60 ,Diversified
BSE Small-Cap,526853,BILCARE LT, 0.60 ,Healthcare
BSE Small-Cap,532481,NOIDA TOL BR, 0.70 ,Capital Goods
BSE Small-Cap,532642,JINDAL SOUTH, 0.45 ,Finance
BSE Small-Cap,532775,GTL INFRAST, 0.35 ,Telecom
BSE Small-Cap,500135,ESSEL PROPAC, 0.45 ,Miscellaneous
BSE Small-Cap,501425,BOMBAY BURMA, 0.30 ,Diversified
BSE Small-Cap,502330,ANDHR PR P M, 0.25 ,Miscellaneous
BSE Small-Cap,505192,SMLISUZU, 0.45 ,Transport Equipments
BSE Small-Cap,511034,JINDA DRI IN, 0.45 ,Oil & Gas
BSE Small-Cap,520111,RATNAMA META, 0.45 ,"Metal,Metal Products & Mining"
BSE Small-Cap,531120,PATEL ENGINR, 0.50 ,Housing Related
BSE Small-Cap,531531,HATSUN AGR P, 0.30 ,FMCG
BSE Small-Cap,532369,RAMCO INDUSR, 0.50 ,Housing Related
BSE Small-Cap,532940,J KUMAR INFR, 0.45 ,Housing Related
BSE Small-Cap,533217,HMVL, 0.25 ,Media & Publishing
BSE Small-Cap,533553,TD POWER, 0.35 ,Capital Goods
BSE Small-Cap,500307,NIRLON LTD, 0.90 ,Textile
BSE Small-Cap,513250,JYOTI STRUCT, 0.75 ,Capital Goods
BSE Small-Cap,530007,JK TYRE IND, 0.55 ,Transport Equipments
BSE Small-Cap,530149,KSL AND INDS, 0.65 ,Housing Related
BSE Small-Cap,531768,POLY MEDICUR, 0.55 ,Miscellaneous
BSE Small-Cap,532331,AJANTA PHARM, 0.30 ,Healthcare
BSE Small-Cap,532649,NECTAR LIFE, 0.60 ,Healthcare
BSE Small-Cap,532718,PRATIBHA IND, 0.50 ,Housing Related
BSE Small-Cap,532732,KEWAL KIRAN, 0.30 ,Textile
BSE Small-Cap,532924,KOLTEPATIL, 0.30 ,Housing Related
BSE Small-Cap,533189,GOENKA DIAM, 0.30 ,Consumer Durables
BSE Small-Cap,500405,SUPREME PET, 0.40 ,Chemical & Petrochemical
BSE Small-Cap,500540,PREMIER LTD, 0.60 ,Transport Equipments
BSE Small-Cap,502165,OCL INDIA L*, 0.30 ,Housing Related
BSE Small-Cap,502865,FORBES & CO, 0.30 ,Capital Goods
BSE Small-Cap,505283,KIRLOSKAR PN, 0.40 ,Capital Goods
BSE Small-Cap,506074,ARSHYIA INTL, 0.60 ,Capital Goods
BSE Small-Cap,513335,AHMEDNAGAR F, 0.50 ,Transport Equipments
BSE Small-Cap,514304,S. KUMAR NAT, 0.60 ,Textile
BSE Small-Cap,522113,TIMKEM LT, 0.20 ,Capital Goods
BSE Small-Cap,530393,DB(INTR)STBR, 0.75 ,Finance
BSE Small-Cap,530517,RELAXO FOOTE, 0.25 ,FMCG
BSE Small-Cap,532612,INDOCO REM, 0.45 ,Healthcare
BSE Small-Cap,532799,HUBTOWN, 0.20 ,Housing Related
BSE Small-Cap,532959,GAMMON INFRA, 0.25 ,Capital Goods
BSE Small-Cap,533033,SARASWATI, 0.40 ,Capital Goods
BSE Small-Cap,533103,JINDALCOTEX, 0.70 ,Textile
BSE Small-Cap,534076,ORIENT REF, 0.55 ,Miscellaneous
BSE Small-Cap,534425,SPECIALITY R, 0.30 ,Tourism
BSE Small-Cap,534675,PROZONE CSC, 0.45 ,Housing Related
BSE Small-Cap,500003,AEGIS LOGIS, 0.40 ,Chemical & Petrochemical
BSE Small-Cap,500117,DCWLTD., 0.60 ,Diversified
BSE Small-Cap,500249,KSB PUMPS LT, 0.35 ,Capital Goods
BSE Small-Cap,505700,ELECON ENG C, 0.55 ,Capital Goods
BSE Small-Cap,511208,IL & FS INVE, 0.50 ,Finance
BSE Small-Cap,517214,SMOBILITY, 0.25 ,Miscellaneous
BSE Small-Cap,523704,MASTEK, 0.60 ,Information Technology
BSE Small-Cap,532443,CERA SANITRY, 0.45 ,FMCG
BSE Small-Cap,532727,ADHUNIK MET, 0.45 ,"Metal,Metal Products & Mining"
BSE Small-Cap,532739,PLETHICO, 0.20 ,Healthcare
BSE Small-Cap,532966,TITAGARH WAG, 0.35 ,Capital Goods
BSE Small-Cap,533180,SHREEGANESH, 0.30 ,Consumer Durables
BSE Small-Cap,533292,A2ZMES, 0.60 ,Capital Goods
BSE Small-Cap,500168,GOODYEA INDI, 0.30 ,Transport Equipments
BSE Small-Cap,500201,INDIA GLYCOL, 0.45 ,Chemical & Petrochemical
BSE Small-Cap,505242,DYNAMATIC TE, 0.45 ,Information Technology
BSE Small-Cap,513010,TATA SPONG I, 0.50 ,"Metal,Metal Products & Mining"
BSE Small-Cap,513216,UTTAM GALVA, 0.30 ,"Metal,Metal Products & Mining"
BSE Small-Cap,514446,LS IND, 0.30 ,Miscellaneous
BSE Small-Cap,519600,CCL PRODUTS, 0.55 ,FMCG
BSE Small-Cap,522064,HONDA SIEL P, 0.35 ,Capital Goods
BSE Small-Cap,522175,SHIVVANI OIL, 0.50 ,Oil & Gas
BSE Small-Cap,524200,VINATI ORGAN, 0.30 ,Healthcare
BSE Small-Cap,524667,SOTL, 0.30 ,Oil & Gas
BSE Small-Cap,524735,HIKAL LTD, 0.30 ,Agriculture
BSE Small-Cap,530813,KRBL LTD, 0.35 ,FMCG
BSE Small-Cap,530967,ARICENTINF, 0.65 ,Chemical & Petrochemical
BSE Small-Cap,531096,MOUNT EVE MI, 0.50 ,FMCG
BSE Small-Cap,532660,VIVIMED LABS, 0.55 ,Healthcare
BSE Small-Cap,532757,VOLTAMP TRAN, 0.55 ,Capital Goods
BSE Small-Cap,532794,ZEE NEWS, 0.50 ,Media & Publishing
BSE Small-Cap,533263,GREENPOWER, 0.45 ,Power
BSE Small-Cap,533272,CEBBCO, 0.45 ,Capital Goods
BSE Small-Cap,533287,ZEE LEARN, 0.30 ,Miscellaneous
BSE Small-Cap,500227,JINDAL POLFM, 0.30 ,Miscellaneous
BSE Small-Cap,505400,TEXINFRA, 0.50 ,"Metal,Metal Products & Mining"
BSE Small-Cap,509675,HIL, 0.55 ,Housing Related
BSE Small-Cap,511196,CANFIN HOME, 0.60 ,Finance
BSE Small-Cap,513228,PENNAR IND L, 0.60 ,"Metal,Metal Products & Mining"
BSE Small-Cap,514162,WELSPUN INDI, 0.35 ,Textile
BSE Small-Cap,526521,SANGHI INDUS, 0.45 ,Diversified
BSE Small-Cap,531373,BYKE HOSP, 0.55 ,Tourism
BSE Small-Cap,531595,MONEY MAT F, 0.40 ,Finance
BSE Small-Cap,532285,GEOJIT BNP, 0.35 ,Finance
BSE Small-Cap,532475,APTECH LTD, 0.65 ,Information Technology
BSE Small-Cap,532493,ASTRA MICRO, 0.65 ,Capital Goods
BSE Small-Cap,532509,SUPRA ENGG, 0.50 ,Transport Equipments
BSE Small-Cap,532515,TV TODAY, 0.45 ,Media & Publishing
BSE Small-Cap,532629,MCNALLY BHA, 0.70 ,Capital Goods
BSE Small-Cap,532859,HGSL, 0.35 ,Information Technology
BSE Small-Cap,532907,ILFSENGG, 0.45 ,Housing Related
BSE Small-Cap,532949,PIRAMAL GLAS, 0.30 ,Miscellaneous
BSE Small-Cap,533169,MAN INFRA, 0.25 ,Housing Related
BSE Small-Cap,533200,TALWALKAR, 0.45 ,Consumer Durables
BSE Small-Cap,533262,RAMKY INFRA, 0.35 ,Housing Related
BSE Small-Cap,533276,BSLIMITED, 0.40 ,Capital Goods
BSE Small-Cap,533343,LOVABLE, 0.35 ,Textile
BSE Small-Cap,534748,STEEL EXCH, 0.50 ,"Metal,Metal Products & Mining"
BSE Small-Cap,500059,BINANI INDUS, 0.50 ,"Metal,Metal Products & Mining"
BSE Small-Cap,500133,ESAB INDIA, 0.30 ,Capital Goods
BSE Small-Cap,500280,CENTURY ENKA, 0.70 ,Textile
BSE Small-Cap,500413,THOMAS CK IN, 0.15 ,Tourism
BSE Small-Cap,503960,BHARAT BIJLI, 0.65 ,Capital Goods
BSE Small-Cap,505714,GABRIEL, 0.50 ,Transport Equipments
BSE Small-Cap,508906,EVEREST INDS, 0.50 ,Housing Related
BSE Small-Cap,514043,HIMATSINGKA, 0.50 ,Textile
BSE Small-Cap,521163,ZODIAC CLOTH, 0.45 ,Textile
BSE Small-Cap,523261,VENKYS INDI, 0.45 ,FMCG
BSE Small-Cap,526801,PSL LIMITED, 0.65 ,"Metal,Metal Products & Mining"
BSE Small-Cap,530073,SANGHVI MOV, 0.45 ,Transport Services
BSE Small-Cap,531349,PANACEA BIOT, 0.30 ,Healthcare
BSE Small-Cap,532156,VAIBHAVGBL, 0.45 ,Consumer Durables
BSE Small-Cap,532259,APAR INDUS, 0.35 ,Diversified
BSE Small-Cap,532349,TRAN COR IND, 0.35 ,Transport Services
BSE Small-Cap,532411,VISESH INFOT, 0.15 ,Information Technology
BSE Small-Cap,532485,BALMR LAW IN, 0.45 ,Finance
BSE Small-Cap,532504,NAVIN FLUORI, 0.65 ,Chemical & Petrochemical
BSE Small-Cap,532628,3I INFOTECH, 0.45 ,Information Technology
BSE Small-Cap,532756,MAHIND FORG, 0.40 ,Capital Goods
BSE Small-Cap,532786,GREAT OFFSH, 0.55 ,Transport Services
BSE Small-Cap,532887,SUJANATOWER, 0.65 ,Capital Goods
BSE Small-Cap,533154,INFINITE, 0.35 ,Information Technology
BSE Small-Cap,533297,KIRL INVEST, 0.35 ,Finance
BSE Small-Cap,533758,APL APOLLO, 0.55 ,"Metal,Metal Products & Mining"
BSE Small-Cap,534711,CINEMAX IND, 0.35 ,Miscellaneous
BSE Small-Cap,500033,FORCE MOTR, 0.30 ,Transport Equipments
BSE Small-Cap,500184,HIMAD CHEM I, 0.20 ,Chemical & Petrochemical
BSE Small-Cap,500404,SUN IR STEEL, 0.50 ,"Metal,Metal Products & Mining"
BSE Small-Cap,500730,NOCIL LTD, 0.65 ,Chemical & Petrochemical
BSE Small-Cap,500878,CEAT, 0.50 ,Transport Equipments
BSE Small-Cap,503205,SHREERAM, 0.30 ,Textile
BSE Small-Cap,506222,STYROLUTN, 0.15 ,Chemical & Petrochemical
BSE Small-Cap,507717,DHAN AGRI, 0.30 ,Agriculture
BSE Small-Cap,509020,RUCHI INFRST, 0.35 ,FMCG
BSE Small-Cap,509820,PAPER PRODUT, 0.40 ,Miscellaneous
BSE Small-Cap,512131,SIGNET IND, 0.30 ,Finance
BSE Small-Cap,513349,AJMERA, 0.40 ,"Metal,Metal Products & Mining"
BSE Small-Cap,522163,DIAMONPOWER, 0.50 ,Power
BSE Small-Cap,523236,SHRENUJ &COM, 0.40 ,Consumer Durables
BSE Small-Cap,526953,VENUS REMEDS, 0.70 ,Healthcare
BSE Small-Cap,531612,KGN IND LTD, 0.50 ,Oil & Gas
BSE Small-Cap,532150,INDRAPRA MED, 0.50 ,Healthcare
BSE Small-Cap,532162,JK PAPER, 0.35 ,Miscellaneous
BSE Small-Cap,532256,NALWA SONS, 0.45 ,Finance
BSE Small-Cap,532342,COMMEX TECH, 0.65 ,Information Technology
BSE Small-Cap,532345,GATI LIMITED, 0.60 ,Miscellaneous
BSE Small-Cap,532529,NDTV LTD., 0.40 ,Media & Publishing
BSE Small-Cap,532663,SASKEN COMM, 0.60 ,Telecom
BSE Small-Cap,532706,INOX LEISURE, 0.35 ,Media & Publishing
BSE Small-Cap,532904,SUPREME INFR, 0.45 ,Housing Related
BSE Small-Cap,533166,SUNDARAMMUL, 0.40 ,Miscellaneous
BSE Small-Cap,533332,SUDAR, 0.45 ,Textile
BSE Small-Cap,533470,RUSHIL DECOR, 0.40 ,Housing Related
BSE Small-Cap,533569,SRS LIMITED, 0.30 ,Consumer Durables
BSE Small-Cap,534312,MT EDUCARE, 0.35 ,Miscellaneous
