LIST AS ON,10-Jan-13,,,
INDEX NAME,SCRIP CODE,NAME, FREE FLOAT FACTOR ,INDUSTRY
BSE-500,532814,INDIAN BANK, 0.20 ,Finance
BSE-500,532827,PAGE INDUSTR, 0.45 ,Textile
BSE-500,532832,INDBUL REAL, 0.50 ,Housing Related
BSE-500,532947,IRB INFRA, 0.40 ,Housing Related
BSE-500,500101,ARVIND Ltd, 0.60 ,Textile
BSE-500,500134,ESSAR OIL LT, 0.15 ,Oil & Gas
BSE-500,500330,RAYMOND LTD, 0.60 ,Textile
BSE-500,500355,RALLI INDIA, 0.50 ,Agriculture
BSE-500,500378,JINDAL SAW, 0.45 ,Capital Goods
BSE-500,500472,SKF INDIA, 0.50 ,Capital Goods
BSE-500,500840,EIH LIMITED, 0.35 ,Tourism
BSE-500,502355,BALKRISH IND, 0.50 ,Transport Equipments
BSE-500,502742,SINTEX INDUS, 0.65 ,Housing Related
BSE-500,505790,FAG BEARING, 0.50 ,Capital Goods
BSE-500,506285,BAYER CROP, 0.30 ,Agriculture
BSE-500,513683,NEYVELI LIG., 0.10 ,Power
BSE-500,522275,ALSTOMT&D, 0.30 ,Capital Goods
BSE-500,523477,GUJARAT GAS, 0.35 ,Oil & Gas
BSE-500,532144,WELCORP, 0.65 ,Capital Goods
BSE-500,532178,ENGINER IN, 0.20 ,Miscellaneous
BSE-500,532179,CORPORATION, 0.20 ,Finance
BSE-500,532400,KPIT CUMMIN, 0.65 ,Information Technology
BSE-500,532401,VIJAYA BANK, 0.45 ,Finance
BSE-500,532627,JPPOWER, 0.15 ,Power
BSE-500,532705,JAGRAN PRAK, 0.45 ,Media & Publishing
BSE-500,532784,SOBHA DEV, 0.40 ,Housing Related
BSE-500,532922,EDELWEISS, 0.60 ,Finance
BSE-500,533122,INDIAB POWER, 0.40 ,Power
BSE-500,533150,GODREJ PROP, 0.30 ,Housing Related
BSE-500,533160,D B REALTY, 0.40 ,Housing Related
BSE-500,533207,JPINFRATEC, 0.20 ,Housing Related
BSE-500,533228,SKS MICRO, 0.75 ,Finance
BSE-500,533248,GPPL, 0.60 ,Transport Services
BSE-500,533398,MUTHOOT FIN, 0.20 ,Finance
